indicx,no_cidade
"64.77","Engenheiro Coelho"
"42.05","São José do Piauí"
"70.14","Jataí"
"72.80","Antonina do Norte"
"37.85","Fortaleza dos Nogueiras"
"75.67","Jacareí"
"68.57","São João Evangelista"
"65.57","Saltinho"
"76.56","Centralina"
"25.67","Senador José Porfírio"
"82.69","Selbach"
"89.27","Altônia"
"56.73","Cordeiro"
"46.22","Araguacema"
"57.27","Terezinha"
"65.11","São José do Mantimento"
"54.46","Sete Lagoas"
"83.04","Osório"
"77.65","Manoel Viana"
"28.81","Santa Maria do Oeste"
"96.05","Novais"
"29.76","Caraúbas do Piauí"
"36.63","Irajuba"
"73.80","Divisa Nova"
"85.15","Botucatu"
"82.17","Cubatão"
"54.81","Chapadão do Céu"
"85.39","Schroeder"
"50.28","Cajazeiras"
"28.04","Caseara"
"79.02","São Ludgero"
"29.33","Curral Novo do Piauí"
"53.84","Cruzaltense"
"66.66","Corguinho"
"53.08","Laranjal"
"78.19","Mauá"
"72.22","Ribeirão Vermelho"
"65.75","Resende Costa"
"70.96","Presidente Juscelino"
"25.36","Lago da Pedra"
"82.07","Cachoeira de Minas"
"71.92","Piedade de Caratinga"
"81.12","Itabaiana"
"69.87","Itá"
"37.83","Aragominas"
"81.70","Guarantã"
"70.31","Alambari"
"89.01","Floresta"
"45.75","Paraibano"
"71.42","Capanema"
"15.38","Atalaia do Norte"
"26.04","Nova Olinda do Norte"
"24.55","Itagibá"
"47.15","Caetanópolis"
"60.97","Pedras de Maria da Cruz"
"88.40","Ituverava"
"93.02","Sananduva"
"40.30","Umburanas"
"78.61","Alterosa"
"81.81","Mirandópolis"
"53.82","Brasília de Minas"
"43.13","Açucena"
"51.20","Papanduva"
"39.43","Igarapé-Açu"
"72.13","Campina do Simão"
"90.41","Paraúna"
"63.00","Santa Maria da Boa Vista"
"88.34","Aparecida do Taboado"
"28.03","Nova Canaã"
"21.29","Oeiras"
"60.74","Palmeirina"
"17.68","Ilha Grande"
"96.19","Itapiranga"
"73.40","Foz do Jordão"
"79.94","Sarzedo"
"64.63","Serraria"
"57.90","Mangaratiba"
"84.00","São João do Oeste"
"45.07","Araças"
"63.07","Sertão Santana"
