Código município IBGE,Ano,Percentual de gestantes com sete ou mais consultas de pré-natal / ano
110000,2000,17.64
110000,2001,23.33
110000,2002,35.71
110000,2003,0
110000,2004,0
110000,2005,0
110000,2006,0
110000,2007,50.00
110000,2008,100.00
110000,2009,33.33
110001,2000,13.29
110001,2001,22.88
110001,2002,29.69
110001,2003,35.64
110001,2004,37.93
110001,2005,41.77
110001,2006,57.14
110001,2007,41.84
110001,2008,31.52
110001,2009,51.41
110001,2010,51.54
110001,2011,45.97
110001,2012,61.39
110001,2013,64.39
110001,2014,62.75
110002,2000,18.19
110002,2001,22.31
110002,2002,22.33
110002,2003,29.55
110002,2004,35.76
110002,2005,36.14
110002,2006,37.56
110002,2007,40.10
110002,2008,50.08
110002,2009,51.70
110002,2010,54.68
110002,2011,54.33
110002,2012,61.09
110002,2013,55.80
110002,2014,55.49
110003,2000,24.80
110003,2001,25.74
110003,2002,27.92
110003,2003,56.38
110003,2004,73.19
110003,2005,30.83
110003,2006,13.33
110003,2007,34.02
110003,2008,24.19
110003,2009,40.00
110003,2010,45.83
110003,2011,50.00
110003,2012,51.56
110003,2013,52.70
110003,2014,58.66
110004,2000,27.46
110004,2001,24.03
110004,2002,24.81
110004,2003,26.18
110004,2004,25.31
110004,2005,33.78
110004,2006,44.16
110004,2007,46.61
110004,2008,48.74
110004,2009,56.60
110004,2010,58.99
110004,2011,64.11
110004,2012,68.44
110004,2013,68.77
110004,2014,65.34
110005,2000,41.38
110005,2001,18.26
110005,2002,26.86
110005,2003,43.49
110005,2004,32.19
110005,2005,28.05
110005,2006,17.76
110005,2007,18.10
110005,2008,28.62
110005,2009,43.77
110005,2010,71.25
110005,2011,60.61
110005,2012,60.00
110005,2013,58.30
110005,2014,61.84
110006,2000,59.70
110006,2001,52.09
110006,2002,47.74
110006,2003,46.76
110006,2004,61.17
110006,2005,41.72
110006,2006,15.94
110006,2007,25.72
110006,2008,41.06
110006,2009,53.47
110006,2010,70.61
110006,2011,65.40
110006,2012,67.28
110006,2013,73.82
110006,2014,76.92
110007,2000,45.60
110007,2001,18.47
110007,2002,27.50
110007,2003,42.74
110007,2004,39.84
110007,2005,25.89
110007,2006,10.00
110007,2007,12.50
110007,2008,15.51
110007,2009,46.72
110007,2010,73.28
110007,2011,55.10
110007,2012,44.82
110007,2013,37.93
110007,2014,46.40
110008,2000,14.81
110008,2001,25.92
110008,2002,25.97
110008,2003,31.14
110008,2004,32.50
110008,2005,34.69
110008,2006,44.04
110008,2007,54.60
110008,2008,52.22
110008,2009,54.36
110008,2010,58.17
110008,2011,53.69
110008,2012,61.53
110008,2013,64.52
110008,2014,64.04
110009,2000,15.12
110009,2001,22.01
110009,2002,23.99
110009,2003,24.56
110009,2004,38.81
110009,2005,42.28
110009,2006,36.59
110009,2007,49.57
110009,2008,44.73
110009,2009,46.50
110009,2010,50.30
110009,2011,59.87
110009,2012,60.29
110009,2013,56.58
110009,2014,61.41
110010,2000,18.16
110010,2001,19.40
110010,2002,25.68
110010,2003,16.11
110010,2004,18.05
110010,2005,2.35
110010,2006,21.60
110010,2007,24.25
110010,2008,1.66
110010,2009,1.45
110010,2010,1.24
110010,2011,1.46
110010,2012,14.46
110010,2013,38.68
110010,2014,38.15
110011,2000,23.88
110011,2001,28.30
110011,2002,26.45
110011,2003,30.64
110011,2004,23.16
110011,2005,19.72
110011,2006,24.83
110011,2007,35.45
110011,2008,39.61
110011,2009,38.27
110011,2010,36.14
110011,2011,40.37
110011,2012,59.77
110011,2013,59.29
110011,2014,63.55
110012,2000,55.57
110012,2001,37.73
110012,2002,31.87
110012,2003,29.19
110012,2004,28.85
110012,2005,30.79
110012,2006,27.46
110012,2007,36.79
110012,2008,35.35
110012,2009,29.90
110012,2010,41.43
110012,2011,50.43
110012,2012,52.19
110012,2013,54.64
110012,2014,56.23
110013,2000,22.36
110013,2001,15.05
110013,2002,8.96
110013,2003,13.53
110013,2004,16.34
110013,2005,18.09
110013,2006,20.40
110013,2007,22.85
110013,2008,31.71
110013,2009,46.50
110013,2010,40.71
110013,2011,50.96
110013,2012,61.43
110013,2013,63.22
110013,2014,63.31
110014,2000,31.26
110014,2001,32.31
110014,2002,21.74
110014,2003,16.66
110014,2004,12.94
110014,2005,28.42
110014,2006,35.88
110014,2007,41.32
110014,2008,47.93
110014,2009,28.01
110014,2010,27.69
110014,2011,52.21
110014,2012,52.76
110014,2013,56.83
110014,2014,64.17
110015,2000,33.02
110015,2001,27.93
110015,2002,31.85
110015,2003,29.11
110015,2004,33.05
110015,2005,28.62
110015,2006,21.58
110015,2007,30.48
110015,2008,50.08
110015,2009,53.24
110015,2010,63.96
110015,2011,68.30
110015,2012,63.67
110015,2013,66.97
110015,2014,68.10
110018,2000,40.22
110018,2001,33.37
110018,2002,46.92
110018,2003,53.93
110018,2004,58.10
110018,2005,54.32
110018,2006,47.69
110018,2007,63.97
110018,2008,69.10
110018,2009,56.52
110018,2010,58.44
110018,2011,61.82
110018,2012,69.80
110018,2013,70.74
110018,2014,68.84
110020,2000,35.69
110020,2001,31.04
110020,2002,31.19
110020,2003,37.18
110020,2004,33.92
110020,2005,32.81
110020,2006,33.76
110020,2007,31.42
110020,2008,38.20
110020,2009,40.81
110020,2010,45.85
110020,2011,43.10
110020,2012,47.43
110020,2013,45.62
110020,2014,34.62
110025,2000,13.67
110025,2001,14.54
110025,2002,20.29
110025,2003,20.61
110025,2004,24.81
110025,2005,34.01
110025,2006,27.07
110025,2007,32.90
110025,2008,34.57
110025,2009,45.07
110025,2010,48.08
110025,2011,59.47
110025,2012,58.43
110025,2013,64.72
110025,2014,67.47
110026,2000,22.22
110026,2001,30.23
110026,2002,32.50
110026,2003,25.58
110026,2004,35.13
110026,2005,36.00
110026,2006,46.51
110026,2007,46.87
