ano_obito: Descending,Sigla UF,CAUSABAS: Descending,Óbitos
2005,AC,P220,26
2005,AC,R99,18
2005,AC,A09,17
2005,AC,Q249,17
2005,AC,A084,15
2005,AC,J189,14
2005,AC,P036,14
2005,AC,P361,13
2005,AC,P072,9
2005,AC,P073,9
2005,AC,A419,7
2005,AC,E46,7
2005,AC,P369,7
2005,AC,P968,7
2005,AC,Q000,7
2005,AC,R98,7
2005,AC,A080,6
2005,AC,E43,6
2005,AC,J180,6
2005,AC,P285,6
2005,AC,G919,5
2005,AC,J960,5
2005,AC,J969,5
2005,AC,P026,4
2005,AC,P209,4
2005,AC,P219,4
2005,AC,A085,3
2005,AC,J984,3
2005,AC,P071,3
2005,AC,P240,3
2005,AC,P969,3
2005,AC,Q039,3
2005,AC,Q899,3
2005,AC,G939,2
2005,AC,I424,2
2005,AC,J690,2
2005,AC,K529,2
2005,AC,N179,2
2005,AC,P070,2
2005,AC,P269,2
2005,AC,P749,2
2005,AC,P965,2
2005,AC,Q248,2
2005,AC,Q875,2
2005,AC,A049,1
2005,AC,A060,1
2005,AC,A061,1
2005,AC,A083,1
2005,AC,A170,1
2005,AC,A379,1
2005,AC,A412,1
2005,AC,A500,1
2005,AC,A509,1
2005,AC,B509,1
2005,AC,B54,1
2005,AC,C383,1
2005,AC,C859,1
2005,AC,D181,1
2005,AC,D520,1
2005,AC,D649,1
2005,AC,D849,1
2005,AC,E069,1
2005,AC,E162,1
2005,AC,E42,1
2005,AC,E872,1
2005,AC,G934,1
2005,AC,I019,1
2005,AC,I132,1
2005,AC,I313,1
2005,AC,I500,1
2005,AC,J128,1
2005,AC,J129,1
2005,AC,J159,1
2005,AC,J209,1
2005,AC,J459,1
2005,AC,K566,1
2005,AC,N19,1
2005,AC,N209,1
2005,AC,N390,1
2005,AC,P005,1
2005,AC,P011,1
2005,AC,P024,1
2005,AC,P025,1
2005,AC,P027,1
2005,AC,P031,1
2005,AC,P035,1
2005,AC,P039,1
2005,AC,P059,1
2005,AC,P241,1
2005,AC,P251,1
2005,AC,P280,1
2005,AC,P283,1
2005,AC,P289,1
2005,AC,P290,1
2005,AC,P291,1
2005,AC,P393,1
2005,AC,P399,1
2005,AC,P529,1
2005,AC,P543,1
2005,AC,P551,1
2005,AC,P559,1
2005,AC,P614,1
2005,AC,P619,1
2005,AC,P729,1
2005,AC,P740,1
2005,AC,P741,1
2005,AC,P769,1
2005,AC,P77,1
2005,AC,P918,1
2005,AC,Q042,1
2005,AC,Q043,1
2005,AC,Q078,1
2005,AC,Q210,1
2005,AC,Q213,1
2005,AC,Q250,1
2005,AC,Q257,1
2005,AC,Q336,1
2005,AC,Q411,1
2005,AC,Q438,1
2005,AC,Q897,1
2005,AC,R092,1
2007,AC,P361,30
2007,AC,J189,18
2007,AC,P220,18
2007,AC,Q249,18
2007,AC,P073,17
2007,AC,P072,15
2007,AC,R98,14
2007,AC,P209,8
2007,AC,R99,8
2007,AC,E43,7
2007,AC,P240,7
2007,AC,P280,7
2007,AC,Q000,7
2007,AC,Q049,7
2007,AC,Q899,7
2007,AC,A419,6
2007,AC,P369,6
2007,AC,G919,5
2007,AC,P285,5
2007,AC,R092,5
2007,AC,A060,4
2007,AC,A084,4
2007,AC,A09,4
2007,AC,J100,4
2007,AC,P036,4
2007,AC,P918,4
2007,AC,E41,3
2007,AC,E878,3
2007,AC,P021,3
2007,AC,P219,3
2007,AC,P559,3
2007,AC,Q213,3
2007,AC,D649,2
2007,AC,E46,2
2007,AC,E86,2
2007,AC,I519,2
2007,AC,J110,2
2007,AC,P022,2
2007,AC,P026,2
2007,AC,P200,2
2007,AC,Q780,2
2007,AC,Q793,2
2007,AC,Q894,2
2007,AC,A049,1
2007,AC,A061,1
2007,AC,A066,1
2007,AC,A083,1
2007,AC,A879,1
2007,AC,B018,1
2007,AC,B589,1
2007,AC,B80,1
2007,AC,C785,1
2007,AC,D689,1
2007,AC,E701,1
2007,AC,E872,1
2007,AC,G009,1
2007,AC,G049,1
2007,AC,G589,1
2007,AC,I219,1
2007,AC,I270,1
2007,AC,I509,1
2007,AC,I619,1
2007,AC,J129,1
2007,AC,J340,1
2007,AC,J399,1
2007,AC,J448,1
2007,AC,J449,1
2007,AC,J690,1
2007,AC,J81,1
2007,AC,K219,1
2007,AC,K403,1
2007,AC,K522,1
2007,AC,K529,1
2007,AC,K564,1
2007,AC,K599,1
2007,AC,K729,1
2007,AC,P000,1
2007,AC,P004,1
2007,AC,P018,1
2007,AC,P029,1
2007,AC,P050,1
2007,AC,P059,1
2007,AC,P070,1
2007,AC,P071,1
2007,AC,P229,1
2007,AC,P239,1
2007,AC,P249,1
2007,AC,P289,1
2007,AC,P299,1
2007,AC,P351,1
2007,AC,P371,1
2007,AC,P379,1
2007,AC,P399,1
2007,AC,P519,1
2007,AC,P524,1
2007,AC,P543,1
2007,AC,P590,1
2007,AC,P599,1
2007,AC,P769,1
2007,AC,P781,1
2007,AC,P912,1
2007,AC,P969,1
2007,AC,Q019,1
2007,AC,Q039,1
2007,AC,Q043,1
2007,AC,Q054,1
2007,AC,Q203,1
2007,AC,Q218,1
2007,AC,Q220,1
2007,AC,Q225,1
2007,AC,Q336,1
2007,AC,Q390,1
2007,AC,Q447,1
2007,AC,Q790,1
2007,AC,Q875,1
2007,AC,Q909,1
2007,AC,R090,1
2007,AC,W119,1
2007,AC,W739,1
2007,AC,W800,1
2007,AC,W849,1
2007,AC,Y009,1
2004,AC,R98,34
2004,AC,P220,24
2004,AC,R99,24
2004,AC,P285,19
2004,AC,P036,18
2004,AC,Q249,14
2004,AC,J189,12
2004,AC,A09,9
2004,AC,P361,9
2004,AC,J180,8
2004,AC,R092,7
2004,AC,A084,6
2004,AC,A419,6
2004,AC,P072,6
2004,AC,P240,6
2004,AC,P209,5
2004,AC,P219,5
2004,AC,Q000,5
2004,AC,Q793,5
2004,AC,E43,4
2004,AC,P026,4
2004,AC,P249,4
2004,AC,A060,3
2004,AC,P073,3
2004,AC,P369,3
2004,AC,P960,3
2004,AC,P969,3
2004,AC,Q897,3
2004,AC,A069,2
2004,AC,D649,2
2004,AC,E46,2
2004,AC,G919,2
2004,AC,P021,2
2004,AC,P031,2
2004,AC,P200,2
2004,AC,P229,2
2004,AC,Q049,2
2004,AC,A049,1
2004,AC,A33,1
2004,AC,B500,1
2004,AC,D62,1
2004,AC,D696,1
2004,AC,D849,1
2004,AC,E162,1
2004,AC,E41,1
2004,AC,G030,1
2004,AC,G629,1
2004,AC,I132,1
2004,AC,I420,1
2004,AC,I500,1
2004,AC,J152,1
2004,AC,J188,1
2004,AC,J690,1
2004,AC,J81,1
2004,AC,J960,1
2004,AC,J969,1
2004,AC,J980,1
2004,AC,J984,1
2004,AC,K297,1
2004,AC,K529,1
2004,AC,K928,1
2004,AC,L038,1
2004,AC,M600,1
2004,AC,N179,1
2004,AC,N19,1
2004,AC,N390,1
2004,AC,P000,1
2004,AC,P004,1
2004,AC,P011,1
2004,AC,P022,1
2004,AC,P025,1
2004,AC,P110,1
2004,AC,P210,1
2004,AC,P239,1
2004,AC,P251,1
2004,AC,P269,1
2004,AC,P280,1
2004,AC,P289,1
2004,AC,P290,1
2004,AC,P365,1
2004,AC,P53,1
2004,AC,P559,1
2004,AC,P579,1
2004,AC,P700,1
2004,AC,P77,1
2004,AC,P780,1
2004,AC,P919,1
2004,AC,P921,1
2004,AC,Q019,1
2004,AC,Q02,1
2004,AC,Q039,1
2004,AC,Q059,1
2004,AC,Q079,1
2004,AC,Q248,1
2004,AC,Q250,1
2004,AC,Q257,1
2004,AC,Q359,1
2004,AC,Q379,1
2004,AC,Q391,1
2004,AC,Q433,1
2004,AC,Q439,1
2004,AC,Q649,1
2004,AC,Q743,1
2004,AC,Q898,1
2004,AC,Q899,1
2004,AC,R688,1
2004,AC,X099,1
2004,AC,X400,1
2006,AC,P220,22
2006,AC,P361,22
2006,AC,R98,18
2006,AC,J189,15
2006,AC,P219,13
2006,AC,A084,11
2006,AC,Q249,11
2006,AC,A09,10
2006,AC,P073,10
2006,AC,A419,9
2006,AC,P072,9
2006,AC,A080,8
2006,AC,P369,8
2006,AC,Q899,7
2006,AC,E86,6
2006,AC,P285,6
2006,AC,Q049,6
2006,AC,R99,6
2006,AC,P036,5
2006,AC,G919,4
2006,AC,P209,4
2006,AC,R092,4
2006,AC,W750,4
2006,AC,K219,3
2006,AC,P239,3
2006,AC,P280,3
2006,AC,P292,3
2006,AC,Q000,3
2006,AC,A060,2
2006,AC,B518,2
2006,AC,E46,2
2006,AC,I519,2
2006,AC,J180,2
2006,AC,J219,2
2006,AC,J984,2
2006,AC,P021,2
2006,AC,P071,2
2006,AC,P240,2
2006,AC,P290,2
2006,AC,P374,2
2006,AC,P612,2
2006,AC,P741,2
2006,AC,P77,2
2006,AC,Q257,2
2006,AC,Q897,2
2006,AC,B169,1
2006,AC,B190,1
2006,AC,B259,1
2006,AC,B59,1
2006,AC,C911,1
2006,AC,C920,1
2006,AC,E441,1
2006,AC,E876,1
2006,AC,G039,1
2006,AC,G049,1
2006,AC,G409,1
2006,AC,G588,1
2006,AC,G934,1
2006,AC,I499,1
2006,AC,I509,1
2006,AC,I517,1
2006,AC,J159,1
2006,AC,J188,1
2006,AC,J22,1
2006,AC,J450,1
2006,AC,J459,1
2006,AC,J46,1
2006,AC,J690,1
2006,AC,J939,1
2006,AC,J960,1
2006,AC,J969,1
2006,AC,K529,1
2006,AC,K566,1
2006,AC,K729,1
2006,AC,N059,1
2006,AC,N179,1
2006,AC,N19,1
2006,AC,P000,1
2006,AC,P005,1
2006,AC,P011,1
2006,AC,P020,1
2006,AC,P022,1
2006,AC,P026,1
2006,AC,P031,1
2006,AC,P200,1
2006,AC,P249,1
2006,AC,P268,1
2006,AC,P373,1
2006,AC,P392,1
2006,AC,P399,1
2006,AC,P501,1
2006,AC,P519,1
2006,AC,P559,1
2006,AC,P579,1
2006,AC,P590,1
2006,AC,P60,1
2006,AC,P769,1
2006,AC,P789,1
2006,AC,P809,1
2006,AC,P833,1
2006,AC,P960,1
2006,AC,Q019,1
2006,AC,Q02,1
2006,AC,Q039,1
2006,AC,Q240,1
2006,AC,Q390,1
2006,AC,Q445,1
2006,AC,Q549,1
2006,AC,Q875,1
2006,AC,Q909,1
2006,AC,V099,1
2006,AC,W060,1
2006,AC,W130,1
2006,AC,W690,1
2006,AC,W849,1
2006,AC,X599,1
2006,AC,Y838,1
2006,AC,Y839,1
2008,AC,P361,28
2008,AC,P220,23
2008,AC,P073,18
2008,AC,J189,15
2008,AC,Q249,14
2008,AC,P072,12
2008,AC,R99,12
2008,AC,R98,10
2008,AC,R092,8
2008,AC,G919,7
2008,AC,A419,6
2008,AC,E46,6
2008,AC,J180,6
2008,AC,Q049,6
2008,AC,E43,5
2008,AC,E86,5
2008,AC,P219,5
2008,AC,P369,5
2008,AC,Q000,5
2008,AC,A09,4
