ano_obito: Descending,CAUSABAS: Descending,Óbitos
2004,P220,4797
2004,P369,4260
2004,P285,2223
2004,R98,2019
2004,Q249,1929
2004,A09,1851
2004,P219,1513
2004,P969,1307
2004,J189,1296
2004,R99,1258
2004,A419,1240
2004,P070,936
2004,P073,907
2004,P291,866
2004,P399,802
2004,J180,738
2004,P239,730
2004,P209,726
2004,P072,675
2004,P210,668
2004,P240,652
2004,E46,643
2004,Q899,624
2004,Q000,622
2004,P011,596
2004,P021,536
2004,P071,466
2004,P000,443
2004,P249,436
2004,Q897,430
2004,P77,422
2004,P229,362
2004,P280,356
2004,Q336,293
2004,Q039,288
2004,P269,252
2004,P293,246
2004,Q248,245
2004,E43,237
2004,P027,230
2004,P015,217
2004,R092,214
2004,Q793,209
2004,J219,202
2004,Q909,188
2004,R95,172
2004,P968,171
2004,J690,169
2004,P001,164
2004,Q790,159
2004,J969,157
2004,P251,155
2004,G009,138
2004,P290,138
2004,P200,131
2004,P038,130
2004,P025,125
2004,D649,123
2004,G919,118
2004,P002,117
2004,Q390,116
2004,W780,116
2004,W849,111
2004,P022,110
2004,P960,109
2004,Y349,105
2004,Q049,102
2004,Q213,102
2004,P361,98
2004,Q913,98
2004,P529,96
2004,Q203,96
2004,J159,94
2004,Q210,94
2004,P059,93
2004,Q054,91
2004,P298,90
2004,J960,88
2004,J984,88
2004,P60,88
2004,G039,87
2004,P201,86
2004,Q250,86
2004,P243,85
2004,P008,84
2004,Q031,80
2004,P271,79
2004,Q059,79
2004,W789,79
2004,P010,78
2004,P284,77
2004,G809,76
2004,P368,76
2004,W790,76
2004,P012,74
2004,J988,71
2004,P031,70
2004,P288,69
2004,Q043,69
2004,W799,68
2004,P024,67
2004,I424,66
2004,P292,66
2004,P599,64
2004,P614,64
2004,Q019,63
2004,P832,62
2004,P281,61
2004,Q211,56
2004,K219,55
2004,P289,55
2004,P013,54
2004,P020,54
2004,A498,53
2004,E889,53
2004,J81,53
2004,P003,53
2004,Q02,53
2004,P035,52
2004,P38,52
2004,P036,50
2004,P524,50
2004,P241,49
2004,Q212,47
2004,Q792,47
2004,Q999,46
2004,P159,44
2004,P550,44
2004,P375,43
2004,Q898,43
2004,D539,42
2004,E41,42
2004,J459,42
2004,Q391,42
2004,Q917,42
2004,W840,42
2004,Q251,41
2004,I509,40
2004,I270,39
2004,P788,39
2004,Q234,39
2004,P749,38
2004,Q613,38
2004,V892,38
2004,Q042,37
2004,Q324,37
2004,G001,36
2004,P559,36
2004,Q419,36
2004,Q639,36
2004,B550,35
2004,J181,35
2004,Q442,35
2004,W750,35
2004,A394,33
2004,N390,33
2004,P026,33
2004,P543,33
2004,P783,33
2004,G049,32
2004,I420,32
2004,P299,32
2004,Q079,32
2004,Q339,32
2004,I519,31
2004,P371,31
2004,A084,30
2004,A500,30
2004,I500,30
2004,Q200,30
2004,Q439,30
2004,P005,29
2004,P018,29
2004,P612,29
2004,P741,29
2004,N19,28
2004,P009,28
2004,P029,28
2004,P039,28
2004,P052,28
2004,P228,28
2004,P549,28
2004,P740,28
2004,P964,28
2004,Q438,28
2004,J209,27
2004,P769,27
2004,P90,27
2004,Q338,27
2004,Q411,27
2004,Q780,27
2004,A060,26
2004,P619,26
2004,Q224,26
2004,Q894,26
2004,A509,25
2004,D65,25
2004,G936,25
2004,N179,25
2004,P004,25
2004,P53,25
2004,Q257,25
2004,P050,24
2004,P590,24
2004,Q204,24
2004,Q410,24
