Sigla UF,ano_obito: Descending,Óbitos,,Estado,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
AC,2004,341,,AC,341,365,340,358,322,322,287,256,274,280,291
AC,2005,365,,AL,1432,1467,1234,1233,1080,1064,918,852,796,852,793
AC,2006,340,,AM,1332,1346,1382,1247,1257,1270,1178,1177,1301,1361,1275
AC,2007,358,,AP,315,289,321,300,342,321,287,304,304,313,294
AC,2008,322,,BA,5157,5023,4784,4353,4086,4059,3814,3612,3574,3463,3351
AC,2009,322,,CE,3083,2566,2443,2157,2104,2039,1691,1750,1609,1726,1581
AC,2010,287,,DF,636,626,578,489,525,522,559,499,506,567,510
AC,2011,256,,ES,800,818,791,709,752,617,617,629,606,597,639
AC,2012,274,,GO,1469,1366,1282,1203,1215,1167,1118,1254,1343,1314,1282
AC,2013,280,,MA,2213,2465,2240,2164,2110,2051,1860,1939,1703,1896,1813
AC,2014,291,,MG,4680,4586,4349,3860,3836,3530,3337,3392,3313,3142,3029
AL,2004,1432,,MS,885,801,742,741,682,736,631,557,565,543,571
AL,2005,1467,,MT,969,967,826,770,802,797,739,740,717,773,828
AL,2006,1234,,PA,3175,3028,3008,2817,2753,2632,2533,2471,2349,2295,2259
AL,2007,1233,,PB,1308,1213,1085,1087,1026,910,850,846,824,828,778
AL,2008,1080,,PE,3404,3267,2734,2680,2468,2435,2083,1958,2010,1999,1892
AL,2009,1064,,PI,1078,1126,1084,1056,972,913,833,847,797,761,743
AL,2010,918,,PR,2479,2332,2146,1950,1978,1865,1840,1781,1796,1707,1791
AL,2011,852,,RJ,3963,3571,3339,3205,3106,3130,3004,3063,3077,2939,2970
AL,2012,796,,RN,940,852,701,758,728,676,638,640,659,675,618
AL,2013,852,,RO,573,521,481,446,436,457,479,368,364,377,395
AL,2014,793,,RR,187,175,203,164,168,177,126,126,175,209,225
AM,2004,1332,,RS,2320,2013,1855,1701,1724,1542,1492,1581,1500,1494,1529
AM,2005,1346,,SC,1164,1065,1056,1046,997,947,888,1033,942,940,943
AM,2006,1382,,SE,839,895,786,665,650,586,510,562,555,517,543
AM,2007,1247,,SP,8959,8353,8078,7774,7585,7485,7163,7088,7118,7070,7173
AM,2008,1257,,TO,482,448,464,437,396,411,399,391,346,328,316
AM,2009,1270,,,,,,,,,,,,,
AM,2010,1178,,,,,,,,,,,,,
AM,2011,1177,,,,,,,,,,,,,
AM,2012,1301,,,,,,,,,,,,,
AM,2013,1361,,,,,,,,,,,,,
AM,2014,1275,,,,,,,,,,,,,
AP,2004,315,,,,,,,,,,,,,
AP,2005,289,,,,,,,,,,,,,
AP,2006,321,,,,,,,,,,,,,
AP,2007,300,,,,,,,,,,,,,
AP,2008,342,,,,,,,,,,,,,
AP,2009,321,,,,,,,,,,,,,
AP,2010,287,,,,,,,,,,,,,
AP,2011,304,,,,,,,,,,,,,
AP,2012,304,,,,,,,,,,,,,
AP,2013,313,,,,,,,,,,,,,
AP,2014,294,,,,,,,,,,,,,
BA,2004,5157,,,,,,,,,,,,,
BA,2005,5023,,,,,,,,,,,,,
BA,2006,4784,,,,,,,,,,,,,
BA,2007,4353,,,,,,,,,,,,,
BA,2008,4086,,,,,,,,,,,,,
BA,2009,4059,,,,,,,,,,,,,
BA,2010,3814,,,,,,,,,,,,,
BA,2011,3612,,,,,,,,,,,,,
BA,2012,3574,,,,,,,,,,,,,
BA,2013,3463,,,,,,,,,,,,,
BA,2014,3351,,,,,,,,,,,,,
CE,2004,3083,,,,,,,,,,,,,
CE,2005,2566,,,,,,,,,,,,,
CE,2006,2443,,,,,,,,,,,,,
CE,2007,2157,,,,,,,,,,,,,
CE,2008,2104,,,,,,,,,,,,,
CE,2009,2039,,,,,,,,,,,,,
CE,2010,1691,,,,,,,,,,,,,
CE,2011,1750,,,,,,,,,,,,,
CE,2012,1609,,,,,,,,,,,,,
CE,2013,1726,,,,,,,,,,,,,
CE,2014,1581,,,,,,,,,,,,,
DF,2004,636,,,,,,,,,,,,,
DF,2005,626,,,,,,,,,,,,,
DF,2006,578,,,,,,,,,,,,,
DF,2007,489,,,,,,,,,,,,,
DF,2008,525,,,,,,,,,,,,,
DF,2009,522,,,,,,,,,,,,,
DF,2010,559,,,,,,,,,,,,,
DF,2011,499,,,,,,,,,,,,,
DF,2012,506,,,,,,,,,,,,,
DF,2013,567,,,,,,,,,,,,,
DF,2014,510,,,,,,,,,,,,,
ES,2004,800,,,,,,,,,,,,,
ES,2005,818,,,,,,,,,,,,,
ES,2006,791,,,,,,,,,,,,,
ES,2007,709,,,,,,,,,,,,,
ES,2008,752,,,,,,,,,,,,,
ES,2009,617,,,,,,,,,,,,,
ES,2010,617,,,,,,,,,,,,,
ES,2011,629,,,,,,,,,,,,,
ES,2012,606,,,,,,,,,,,,,
ES,2013,597,,,,,,,,,,,,,
ES,2014,639,,,,,,,,,,,,,
GO,2004,1469,,,,,,,,,,,,,
GO,2005,1366,,,,,,,,,,,,,
GO,2006,1282,,,,,,,,,,,,,
GO,2007,1203,,,,,,,,,,,,,
GO,2008,1215,,,,,,,,,,,,,
GO,2009,1167,,,,,,,,,,,,,
GO,2010,1118,,,,,,,,,,,,,
GO,2011,1254,,,,,,,,,,,,,
GO,2012,1343,,,,,,,,,,,,,
GO,2013,1314,,,,,,,,,,,,,
GO,2014,1282,,,,,,,,,,,,,
MA,2004,2213,,,,,,,,,,,,,
MA,2005,2465,,,,,,,,,,,,,
MA,2006,2240,,,,,,,,,,,,,
MA,2007,2164,,,,,,,,,,,,,
MA,2008,2110,,,,,,,,,,,,,
MA,2009,2051,,,,,,,,,,,,,
MA,2010,1860,,,,,,,,,,,,,
MA,2011,1939,,,,,,,,,,,,,
MA,2012,1703,,,,,,,,,,,,,
MA,2013,1896,,,,,,,,,,,,,
MA,2014,1813,,,,,,,,,,,,,
MG,2004,4680,,,,,,,,,,,,,
MG,2005,4586,,,,,,,,,,,,,
MG,2006,4349,,,,,,,,,,,,,
MG,2007,3860,,,,,,,,,,,,,
MG,2008,3836,,,,,,,,,,,,,
MG,2009,3530,,,,,,,,,,,,,
